date,actual_next_ret,model_prediction,model_position,oracle_position,model_return,oracle_return,daily_return_gap
2020-09-18,-0.06106881053677593,-0.10651312162238198,0.0,0.0,-0.0,-0.0,0.0
2020-09-19,-0.05135857716313996,-0.0088855059681959,0.0,0.0,-0.0,-0.0,0.0
2020-09-20,-0.12367224025384238,0.06927170052981638,1.0,0.0,-0.031918060063460596,-0.0,0.031918060063460596
2020-09-21,0.019505200424083213,0.19316892301385005,1.0,1.0,0.004876300106020803,0.0038763001060208033,-0.001
2020-09-22,-0.034267357649789276,0.08707291311102941,1.0,0.0,-0.008566839412447319,-0.001,0.007566839412447319
2020-09-23,0.08695651659650672,0.12518499594047763,1.0,1.0,0.02173912914912668,0.020739129149126678,-0.0010000000000000009
2020-09-24,0.008895864842921819,0.014693198731813878,1.0,1.0,0.0022239662107304548,0.0022239662107304548,0.0
2020-09-25,-0.016578379153210032,0.10574352782483357,1.0,0.0,-0.004144594788302508,-0.001,0.003144594788302508
2020-09-26,-0.008597994145019827,0.013224259917764436,1.0,0.0,-0.002149498536254957,-0.0,0.002149498536254957
2020-09-27,0.020318909156159526,0.11683578642316281,1.0,1.0,0.0050797272890398815,0.0040797272890398814,-0.001
2020-09-28,0.023327485261547265,0.042873247705372736,1.0,1.0,0.005831871315386816,0.005831871315386816,0.0
2020-09-29,-0.033479082513361735,0.042237025621447294,1.0,0.0,-0.008369770628340434,-0.001,0.007369770628340434
2020-09-30,-0.0013678789829417726,0.0747718091758238,1.0,0.0,-0.00034196974573544314,-0.0,0.00034196974573544314
2020-10-01,-0.050796658585148036,0.06491586507157951,1.0,0.0,-0.012699164646287009,-0.0,0.012699164646287009
2020-10-02,-0.012886418803059962,0.050574688546866114,1.0,0.0,-0.0032216047007649906,-0.0,0.0032216047007649906
2020-10-03,0.025519403948565333,-0.0014801727291862965,0.0,1.0,-0.001,0.005379850987141333,0.006379850987141333
2020-10-04,-0.00029017541446529904,-0.04967500805067765,0.0,0.0,-0.0,-0.001,-0.001
2020-10-05,-0.09982457575810899,-0.009305702620987039,0.0,0.0,-0.0,-0.0,0.0
2020-10-06,0.027324726895230134,0.02216436534439639,1.0,1.0,0.005831181723807533,0.005831181723807533,0.0
2020-10-07,0.06319170647931927,-0.06586708865489335,0.0,1.0,-0.001,0.015797926619829816,0.016797926619829817
2020-10-08,0.038956798945218196,-0.02891200489727952,0.0,1.0,0.0,0.009739199736304549,0.009739199736304549
2020-10-09,-0.0022317825297405447,-0.00011747788381891167,0.0,0.0,-0.0,-0.001,-0.001
2020-10-10,0.0021649062298150223,0.0020396237309335263,1.0,1.0,-0.00045877344254624444,-0.00045877344254624444,0.0
2020-10-11,0.013557904421841904,0.009846802491150747,1.0,1.0,0.003389476105460476,0.003389476105460476,0.0
2020-10-12,-0.016330764710271617,-0.0025497039395590837,0.0,0.0,-0.001,-0.001,0.0
2020-10-13,-0.011833739207090743,0.057545327154523845,1.0,0.0,-0.003958434801772686,-0.0,0.003958434801772686
2020-10-14,-0.024363004162985535,0.04317676108553034,1.0,0.0,-0.006090751040746384,-0.0,0.006090751040746384
2020-10-15,-0.045714057917963236,0.04767234075385454,1.0,0.0,-0.011428514479490809,-0.0,0.011428514479490809
2020-10-16,0.014764705871590955,-0.008310287846491599,0.0,1.0,-0.001,0.0026911764678977388,0.003691176467897739
2020-10-17,0.03463328209292138,-0.010851297091590578,0.0,1.0,0.0,0.008658320523230345,0.008658320523230345
2020-10-18,-0.02778773935223855,0.005390060449590811,1.0,0.0,-0.007946934838059638,-0.001,0.006946934838059638
2020-10-19,-0.02010956546385312,-0.05927843469871899,0.0,0.0,-0.001,-0.0,0.001
2020-10-20,0.05901708091869318,-0.038734954433219476,0.0,1.0,0.0,0.013754270229673293,0.013754270229673293
2020-10-21,0.030868467917423148,-0.0028568414354528116,0.0,1.0,0.0,0.007717116979355787,0.007717116979355787
2020-10-22,-0.0004919221007173569,-0.006236076423998982,0.0,1.0,-0.0,-0.00012298052517933922,-0.00012298052517933922
2020-10-23,0.02073984886178093,-0.02118993858308149,0.0,1.0,0.0,0.005184962215445232,0.005184962215445232
2020-10-24,-0.00461800311764482,0.01592904718267285,1.0,0.0,-0.002154500779411205,-0.001,0.001154500779411205
2020-10-25,0.09037238394225544,0.04895073542029185,1.0,1.0,0.02259309598556386,0.02159309598556386,-0.0010000000000000009
2020-10-26,-0.009110211957284342,-0.004504291541921002,0.0,0.0,-0.001,-0.001,0.0
2020-10-27,-0.06807388690108551,0.006691559438904621,1.0,0.0,-0.01801847172527138,-0.0,0.01801847172527138
2020-10-28,-0.07141922372418041,0.019188666716290326,1.0,0.0,-0.017854805931045103,-0.0,0.017854805931045103
2020-10-29,0.008577514613584913,0.03707713328771947,1.0,1.0,0.0021443786533962284,0.0011443786533962283,-0.001
2020-10-30,0.02290913026976238,0.017951457505253704,1.0,1.0,0.005727282567440595,0.005727282567440595,0.0
2020-10-31,0.010485298244441665,0.002360663217230441,1.0,1.0,0.0026213245611104163,0.0026213245611104163,0.0
2020-11-01,-0.046237783319944326,0.019881589670003336,1.0,0.0,-0.011559445829986081,-0.001,0.01055944582998608
2020-11-02,-0.0011820858212526764,-0.004180229959469345,0.0,0.0,-0.001,-0.0,0.001
2020-11-03,0.018038933345084107,-0.01820879998170627,0.0,1.0,0.0,0.0035097333362710268,0.0035097333362710268
2020-11-04,0.03345762885018133,0.061513228431659656,1.0,1.0,0.007364407212545333,0.008364407212545333,0.001
2020-11-05,0.08133194803603927,0.03696389426552485,1.0,1.0,0.020332987009009817,0.020332987009009817,0.0
2020-11-06,-0.07373743599952776,0.016652352321818137,1.0,0.0,-0.01843435899988194,-0.001,0.017434358999881938
2020-11-07,0.030677599627249696,0.0644160238034597,1.0,1.0,0.007669399906812424,0.006669399906812424,-0.001
2020-11-08,-0.005792706335647768,-0.040128635507692606,0.0,0.0,-0.001,-0.001,0.0
2020-11-09,0.01570114671937195,0.013433387615153614,1.0,1.0,0.0029252866798429875,0.0029252866798429875,0.0
2020-11-10,0.009555068819824264,-0.022008181970097046,0.0,1.0,-0.001,0.002388767204956066,0.003388767204956066
2020-11-11,-0.013004109150857479,-0.017523454507418074,0.0,0.0,-0.0,-0.001,-0.001
2020-11-12,0.03202373758586585,-0.036983950467186305,0.0,1.0,0.0,0.007005934396466463,0.007005934396466463
2020-11-13,-0.016408855829053937,-0.05790738448661281,0.0,0.0,-0.0,-0.001,-0.001
2020-11-14,-0.019176221301924756,-0.012472511272483361,0.0,0.0,-0.0,-0.0,0.0
2020-11-15,0.02408948624576923,-0.025383223052907106,0.0,1.0,0.0,0.005022371561442308,0.005022371561442308
2020-11-16,0.0800727135495427,-0.07080550809677222,0.0,1.0,0.0,0.020018178387385677,0.020018178387385677
2020-11-17,-0.03405865806509267,0.04260050966282916,1.0,0.0,-0.009514664516273169,-0.001,0.008514664516273168
2020-11-18,0.01647611337517496,0.07031312619897886,1.0,1.0,0.00411902834379374,0.0031190283437937403,-0.001
