symbol,total_return,cagr,sharpe,max_drawdown,trade_count,win_rate,daily_hit_rate,rows,error
ETH-USD,-0.5167705211389413,-0.09967947463408289,0.1552853123100814,0.8681364922617951,1108,0.5018234865061999,0.2721518987341772,2528,
SOL-USD,1.3723128933939241,0.15615973708086028,0.6241425938142914,0.9007995964399285,882,0.48253968253968255,0.27979751495628163,2173,
BNB-USD,5.111557407133605,0.29869419553423127,0.7435182311448572,0.7369226080777492,1086,0.5193621867881549,0.27056962025316456,2528,
XRP-USD,0.35041139722546544,0.04432836632261017,0.3978772080785315,0.8792394957938432,1047,0.5093659942363112,0.27966772151898733,2528,
ADA-USD,-0.3811458645377753,-0.0669414182727347,0.2771462120745468,0.9323856280617455,1094,0.49469964664310956,0.27689873417721517,2528,
DOGE-USD,-0.9012296430778187,-0.2841182932828067,0.044885357035856534,0.9769239985211141,1030,0.4817618719889883,0.27689873417721517,2528,
TRX-USD,1.1258017548791557,0.11503548802780705,0.47893177995695396,0.778109200299908,1035,0.5394345238095238,0.2867879746835443,2528,
AVAX-USD,-0.18267085533166516,-0.03596680173092781,0.38032363752568776,0.9167450449566293,834,0.49476439790575916,0.282089552238806,2010,
DOT-USD,-0.11557840753438253,-0.021725167248452304,0.351775401492428,0.9469982329221458,851,0.4750219106047327,0.26555609995100443,2041,
LINK-USD,-0.7863525844143806,-0.19976085039711855,0.15892287450328754,0.9644228516921474,1104,0.49329569513055754,0.276503164556962,2528,
LTC-USD,-0.3785608196817677,-0.06637968556975771,0.24055038451815125,0.7856398620412689,1114,0.520618556701031,0.27966772151898733,2528,
