symbol,model_total_return,oracle_total_return,return_gap,capture_ratio,model_cagr,oracle_cagr,model_trade_count,oracle_trade_count,action_match_rate
ETH-USD,0.12864065037853,4286.823333744423,4286.694693094044,3.0008386248603795e-05,0.01762587992778819,2.345283558680594,1086,1261,0.5249208860759493
SOL-USD,0.6817429829798078,128218.57364455255,128217.89190156957,5.3170376459633324e-06,0.09119790818536155,6.204290690006324,896,1055,0.5220791168353266
BNB-USD,-0.06256671928478941,2439.4621943865995,2439.5247611058844,-2.5647751143166106e-05,-0.009285159474487492,2.0838488368932304,1085,1239,0.5126582278481012
XRP-USD,-0.1918053337201301,8547.261101644785,8547.452906978504,-2.2440560951533374e-05,-0.030278805156205624,2.6956936264746125,1058,1311,0.5106803797468354
ADA-USD,-0.11098696770757022,28272.399249051978,28272.510236019687,-3.9256296124670705e-06,-0.016842250705289552,3.3924104801708905,1084,1235,0.5130537974683544
DOGE-USD,0.34125945585994666,85413.15745917526,85412.8161997194,3.995396798474025e-06,0.043303510835873915,4.152626217920108,1066,1275,0.5102848101265823
TRX-USD,-0.3644904801341927,1471.1016353220812,1471.4661258022154,-0.00024776702804384527,-0.0633567883108358,1.8667913273940475,1104,1236,0.5178006329113924
AVAX-USD,0.5389249012638195,20851.99363141941,20851.454706518147,2.5845245821089125e-05,0.08138486977526149,5.0804620705324455,837,969,0.5206364992541025
DOT-USD,-0.4887157839471682,3706.920852395338,3707.409568179285,-0.00013183874255943983,-0.11299826056114592,3.344791697984956,849,1002,0.5044074436826641
LINK-USD,0.47556179321358116,136566.0771354547,136565.60157366146,3.482283471772346e-06,0.057778076345985196,4.513866013658434,1029,1273,0.5166139240506329
LTC-USD,-0.28067725530093324,6037.403718406279,6037.68439566158,-4.6489727769112134e-05,-0.04645270027375059,2.514799429003957,1108,1257,0.5205696202531646
