symbol,model_total_return,oracle_total_return,return_gap,capture_ratio,model_cagr,oracle_cagr,model_trade_count,oracle_trade_count,action_match_rate
ETH-USD,-0.8983101594013921,5.347840822962752e+29,5.347840822962752e+29,-1.6797623361267514e-30,-0.2811010573487176,19598.317944948067,1013,1262,0.509493670886076
SOL-USD,-0.9999556038076073,3.0089331664400037e+38,3.0089331664400037e+38,-3.323289513241988e-39,-0.8141260285011027,2885804.4882499496,833,1056,0.5036798528058878
BNB-USD,-0.9444374902479681,2.4217690078001052e+27,2.4217690078001052e+27,-3.8997835351187332e-28,-0.3411782175085061,8989.851149594426,1016,1240,0.4920886075949367
XRP-USD,-0.8380966325179834,9.063980473331304e+31,9.063980473331304e+31,-9.246452317322303e-33,-0.23117045894061383,41122.56455803857,953,1312,0.5083069620253164
ADA-USD,-0.9946615769008648,1.0513983176912824e+36,1.0513983176912824e+36,-9.460368731471786e-37,-0.5302386616019727,158827.20694792937,998,1236,0.5229430379746836
DOGE-USD,-0.9989257565038594,1.79166344796552e+37,1.79166344796552e+37,-5.57540958732046e-38,-0.6273149523343018,239183.82511884067,918,1278,0.49485759493670883
TRX-USD,-0.9993480967776224,6.5713289161641485e+25,6.5713289161641485e+25,-1.520770166167496e-26,-0.6532451973982665,5340.065883464793,960,1238,0.5067246835443038
AVAX-USD,-0.9998310496330658,1.414513339864014e+34,1.414513339864014e+34,-7.068374835752244e-35,-0.7933041683501958,1579044.396213362,743,970,0.49825957235206364
DOT-USD,-0.9780286283046055,6.587309767605711e+29,6.587309767605711e+29,-1.4847163148668646e-30,-0.4946258085673465,213787.60341902132,804,1002,0.5156709108716944
LINK-USD,-0.9721799006058355,4.650090494891175e+40,4.650090494891175e+40,-2.090668776605362e-41,-0.4037999930712475,744193.5351741227,1012,1273,0.5162183544303798
LTC-USD,-0.9574781126892936,6.952990924250551e+31,6.952990924250551e+31,-1.3770737271492963e-32,-0.36613746269797354,39578.05764512364,978,1258,0.5170094936708861
