symbol,total_return,cagr,sharpe,max_drawdown,trade_count,win_rate,daily_hit_rate,rows,error
ETH-USD,-0.6679700414099304,-0.14716271212940846,0.20778516214344014,0.8713111002930616,1034,0.497626582278481,0.497626582278481,2528,
SOL-USD,-0.9999122224081094,-0.7917390082443081,-0.6757212305305428,0.9999377924786085,818,0.4956281638288081,0.4956281638288081,2173,
BNB-USD,-0.871908469239818,-0.2567392499787441,0.042948100818009885,0.9386624747172458,1024,0.4873417721518987,0.4873417721518987,2528,
XRP-USD,-0.742664966237738,-0.1779729343585622,0.30967629510078487,0.960543991521501,958,0.497626582278481,0.497626582278481,2528,
ADA-USD,-0.9895269237451532,-0.4822351566734069,-0.11987035808630792,0.9936792083548643,1002,0.5174050632911392,0.5174050632911392,2528,
DOGE-USD,-0.9971234802048875,-0.570360826738217,0.1508898745476513,0.9984310838752924,910,0.4837816455696203,0.4837816455696203,2528,
TRX-USD,-0.999588325929586,-0.6755114476422615,-0.6492423784032046,0.9996530590947781,950,0.4825949367088608,0.4825949367088608,2528,
AVAX-USD,-0.9996893407485461,-0.7693110727719886,-0.661358888643862,0.9998891004328233,728,0.491044776119403,0.491044776119403,2010,
DOT-USD,-0.9786304534823532,-0.49729781542633744,-0.18432461562884817,0.9896930704136966,796,0.506124448799608,0.506124448799608,2041,
LINK-USD,-0.9864317008752753,-0.4625122363136053,-0.0369899487392542,0.9993964507804896,1025,0.5051424050632911,0.5051424050632911,2528,
LTC-USD,-0.9768792411594205,-0.4195165291073355,-0.19563111434223807,0.987323649484925,1002,0.49723101265822783,0.49723101265822783,2528,
