date,close,target_return,prediction_score,threshold,position_scale,trade_mode,model_position,oracle_position,model_return,buyhold_return,oracle_return,oracle_minus_model
2019-07-01,0.4068619906902313,-0.016364241402171853,0.4652620669604097,0.06,1.0,long_only,1.0,-1.0,-0.017364241402171854,-0.017364241402171854,0.015364241402171852,0.032728482804343706
2019-07-02,0.4002040028572082,0.020809364001567632,0.6754136133585986,0.06,1.0,long_only,1.0,1.0,0.020809364001567632,0.020809364001567632,0.01880936400156763,-0.0020000000000000018
2019-07-03,0.4085319936275482,-0.04849804045926576,0.5155492258586596,0.06,1.0,long_only,1.0,-1.0,-0.04849804045926576,-0.04849804045926576,0.046498040459265755,0.09499608091853151
2019-07-04,0.3887189924716949,-0.02509521211937671,0.7257379531033852,0.06,1.0,long_only,1.0,-1.0,-0.02509521211937671,-0.02509521211937671,0.02509521211937671,0.05019042423875342
2019-07-05,0.3789640069007873,0.026627876452844035,0.7160070890550998,0.06,1.0,long_only,1.0,1.0,0.026627876452844035,0.026627876452844035,0.024627876452844033,-0.0020000000000000018
2019-07-06,0.3890550136566162,0.020542080444168054,0.6450732844991183,0.06,1.0,long_only,1.0,1.0,0.020542080444168054,0.020542080444168054,0.020542080444168054,0.0
2019-07-07,0.3970470130443573,0.011298396487134932,0.6178250152643414,0.06,1.0,long_only,1.0,1.0,0.011298396487134932,0.011298396487134932,0.011298396487134932,0.0
2019-07-08,0.4015330076217651,-0.018342248307233522,0.5849088908700335,0.06,1.0,long_only,1.0,-1.0,-0.018342248307233522,-0.018342248307233522,0.01634224830723352,0.03468449661446704
2019-07-09,0.3941679894924164,-0.07710665357233903,0.6651745394448678,0.06,1.0,long_only,1.0,-1.0,-0.07710665357233903,-0.07710665357233903,0.07710665357233903,0.15421330714467807
2019-07-10,0.3637750148773193,-0.09192501489399219,0.8136419395678587,0.06,1.0,long_only,1.0,-1.0,-0.09192501489399219,-0.09192501489399219,0.09192501489399219,0.18385002978798437
2019-07-11,0.3303349912166595,0.04172433507397866,0.8890168600098705,0.06,1.0,long_only,1.0,1.0,0.04172433507397866,0.04172433507397866,0.039724335073978656,-0.0020000000000000018
2019-07-12,0.3441179990768432,-0.03469446292978995,0.7376364759027751,0.06,1.0,long_only,1.0,-1.0,-0.03469446292978995,-0.03469446292978995,0.03269446292978995,0.0673889258595799
2019-07-13,0.3321790099143982,-0.07752753928332456,0.850033570322692,0.06,1.0,long_only,1.0,-1.0,-0.07752753928332456,-0.07752753928332456,0.07752753928332456,0.15505507856664913
2019-07-14,0.3064259886741638,0.028992360398562456,0.8918056576482014,0.06,1.0,long_only,1.0,1.0,0.028992360398562456,0.028992360398562456,0.026992360398562454,-0.0020000000000000018
2019-07-15,0.315310001373291,-0.05893886303729434,0.8009653577704685,0.06,1.0,long_only,1.0,-1.0,-0.05893886303729434,-0.05893886303729434,0.05693886303729434,0.11587772607458868
2019-07-16,0.2967259883880615,0.04680081458572882,0.9099826113086147,0.06,1.0,long_only,1.0,1.0,0.04680081458572882,0.04680081458572882,0.04480081458572882,-0.0020000000000000018
2019-07-17,0.3106130063533783,0.040445795673816454,0.7369848699999664,0.06,1.0,long_only,1.0,1.0,0.040445795673816454,0.040445795673816454,0.040445795673816454,0.0
2019-07-18,0.3231759965419769,-0.007955376560300209,0.8023385034789245,0.06,1.0,long_only,1.0,-1.0,-0.007955376560300209,-0.007955376560300209,0.005955376560300209,0.013910753120600418
