date,close,target_return,prediction_score,threshold,position_scale,trade_mode,model_position,oracle_position,model_return,buyhold_return,oracle_return,oracle_minus_model
2020-09-09,4.708939075469971,-0.027045391049501877,-0.026126125490288588,0.06,1.0,long_only,0.0,-1.0,-0.0,-0.028045391049501878,0.026045391049501876,0.026045391049501876
2020-09-10,4.5815839767456055,0.013965249548358205,0.8143322312819943,0.06,1.0,long_only,1.0,1.0,0.012965249548358204,0.013965249548358205,0.011965249548358205,-0.0009999999999999992
2020-09-11,4.645566940307617,0.1057933006653351,-0.0679705928457196,0.06,1.0,long_only,0.0,1.0,-0.001,0.1057933006653351,0.1057933006653351,0.1067933006653351
2020-09-12,5.1370368003845215,0.03132436603714783,0.1987806982623057,0.06,1.0,long_only,1.0,1.0,0.030324366037147832,0.03132436603714783,0.03132436603714783,0.0010000000000000009
2020-09-13,5.2979512214660645,0.009580662950158692,-0.17826174044618248,0.06,1.0,long_only,0.0,1.0,-0.001,0.009580662950158692,0.009580662950158692,0.010580662950158692
2020-09-14,5.3487091064453125,-0.04730171624354906,-0.39548903572744154,0.06,1.0,long_only,0.0,-1.0,-0.0,-0.04730171624354906,0.04530171624354906,0.04530171624354906
2020-09-15,5.095705986022949,-0.003019051192769906,0.030944360200772403,0.06,1.0,long_only,0.0,-1.0,-0.0,-0.003019051192769906,0.003019051192769906,0.003019051192769906
2020-09-16,5.080321788787842,0.050386387274059974,0.03465413501092507,0.06,1.0,long_only,0.0,1.0,0.0,0.050386387274059974,0.04838638727405997,0.04838638727405997
2020-09-17,5.336300849914551,-0.016966260669032063,0.3122170471861223,0.06,1.0,long_only,1.0,-1.0,-0.017966260669032064,-0.016966260669032063,0.014966260669032063,0.032932521338064125
2020-09-18,5.245763778686523,-0.06106881053677593,0.39527213871578715,0.06,1.0,long_only,1.0,-1.0,-0.06106881053677593,-0.06106881053677593,0.06106881053677593,0.12213762107355186
2020-09-19,4.925411224365234,-0.05135857716313996,0.47619671065440383,0.06,1.0,long_only,1.0,-1.0,-0.05135857716313996,-0.05135857716313996,0.05135857716313996,0.10271715432627992
2020-09-20,4.672449111938477,-0.12367224025384238,0.48265452833389233,0.06,1.0,long_only,1.0,-1.0,-0.12367224025384238,-0.12367224025384238,0.12367224025384238,0.24734448050768476
2020-09-21,4.094596862792969,0.019505200424083213,0.8476341977973636,0.06,1.0,long_only,1.0,1.0,0.019505200424083213,0.019505200424083213,0.01750520042408321,-0.0020000000000000018
2020-09-22,4.174462795257568,-0.034267357649789276,-0.39319113013513785,0.06,1.0,long_only,0.0,-1.0,-0.001,-0.034267357649789276,0.032267357649789274,0.033267357649789275
