date,close,target_return,prediction_score,threshold,position_scale,trade_mode,model_position,oracle_position,model_return,buyhold_return,oracle_return,oracle_minus_model
2019-07-01,32.922298431396484,-0.027733879249623117,0.46273295538006676,0.06,1.0,long_only,1.0,-1.0,-0.028733879249623118,-0.028733879249623118,0.026733879249623116,0.055467758499246234
2019-07-02,32.00923538208008,0.020564819880851237,0.658723767754386,0.06,1.0,long_only,1.0,1.0,0.020564819880851237,0.020564819880851237,0.018564819880851235,-0.0020000000000000018
2019-07-03,32.66749954223633,0.006912872628520583,0.48126185379693287,0.06,1.0,long_only,1.0,1.0,0.006912872628520583,0.006912872628520583,0.006912872628520583,0.0
2019-07-04,32.89332580566406,-0.005477114826434315,0.5179715460927057,0.06,1.0,long_only,1.0,-1.0,-0.005477114826434315,-0.005477114826434315,0.003477114826434315,0.00895422965286863
2019-07-05,32.713165283203125,-0.005570365084029527,0.5636188265690085,0.06,1.0,long_only,1.0,-1.0,-0.005570365084029527,-0.005570365084029527,0.005570365084029527,0.011140730168059054
2019-07-06,32.530941009521484,0.021829099704718358,0.5730083941908934,0.06,1.0,long_only,1.0,1.0,0.021829099704718358,0.021829099704718358,0.019829099704718356,-0.0020000000000000018
2019-07-07,33.24106216430664,0.006877596771611483,0.4856349376252387,0.06,1.0,long_only,1.0,1.0,0.006877596771611483,0.006877596771611483,0.006877596771611483,0.0
2019-07-08,33.46968078613281,-0.022767816641128702,0.5249640310991202,0.06,1.0,long_only,1.0,-1.0,-0.022767816641128702,-0.022767816641128702,0.0207678166411287,0.0435356332822574
2019-07-09,32.70764923095703,-0.037614207135571065,0.5854197793195257,0.06,1.0,long_only,1.0,-1.0,-0.037614207135571065,-0.037614207135571065,0.037614207135571065,0.07522841427114213
2019-07-10,31.47737693786621,-0.058308713377051125,0.6669766785767854,0.06,1.0,long_only,1.0,-1.0,-0.058308713377051125,-0.058308713377051125,0.058308713377051125,0.11661742675410225
2019-07-11,29.64197158813477,0.0692382630897892,0.779159670697738,0.06,1.0,long_only,1.0,1.0,0.0692382630897892,0.0692382630897892,0.0672382630897892,-0.0020000000000000018
2019-07-12,31.6943302154541,-0.00591263490661964,0.5517387433737313,0.06,1.0,long_only,1.0,-1.0,-0.00591263490661964,-0.00591263490661964,0.00391263490661964,0.00982526981323928
2019-07-13,31.506933212280277,-0.08197088307214373,0.6732084626561408,0.06,1.0,long_only,1.0,-1.0,-0.08197088307214373,-0.08197088307214373,0.08197088307214373,0.16394176614428746
2019-07-14,28.92428207397461,-0.0183525453333786,0.7999075707270302,0.06,1.0,long_only,1.0,-1.0,-0.0183525453333786,-0.0183525453333786,0.0183525453333786,0.0367050906667572
2019-07-15,28.39344787597656,-0.10102467066460352,0.7510623521190776,0.06,1.0,long_only,1.0,-1.0,-0.10102467066460352,-0.10102467066460352,0.10102467066460352,0.20204934132920704
2019-07-16,25.52500915527344,0.06638945795898743,0.8909615115901355,0.06,1.0,long_only,1.0,1.0,0.06638945795898743,0.06638945795898743,0.06438945795898743,-0.0020000000000000018
2019-07-17,27.219600677490234,0.06257295435259569,0.6467218681242457,0.06,1.0,long_only,1.0,1.0,0.06257295435259569,0.06257295435259569,0.06257295435259569,0.0
2019-07-18,28.92281150817871,0.005379229053666501,0.5298454090283,0.06,1.0,long_only,1.0,1.0,0.005379229053666501,0.005379229053666501,0.005379229053666501,0.0
2019-07-19,29.078393936157227,0.061690131477234456,0.6256724043745263,0.06,1.0,long_only,1.0,1.0,0.061690131477234456,0.061690131477234456,0.061690131477234456,0.0
2019-07-20,30.872243881225582,-0.011424540065526956,0.43282287864040403,0.06,1.0,long_only,1.0,-1.0,-0.011424540065526956,-0.011424540065526956,0.009424540065526956,0.02084908013105391
2019-07-21,30.5195426940918,0.0037695073379651056,0.6319219559440667,0.06,1.0,long_only,1.0,1.0,0.0037695073379651056,0.0037695073379651056,0.0017695073379651056,-0.002
2019-07-22,30.63458633422852,-0.034255099167902814,0.5753310708275117,0.06,1.0,long_only,1.0,-1.0,-0.034255099167902814,-0.034255099167902814,0.03225509916790281,0.06651019833580563
