date,close,target_return,prediction_score,threshold,position_scale,trade_mode,model_position,oracle_position,model_return,buyhold_return,oracle_return,oracle_minus_model
2020-10-10,4.026704788208008,0.017178882819009367,0.6664719782029924,0.06,1.0,long_only,1.0,1.0,0.016178882819009366,0.016178882819009366,0.016178882819009366,0.0
2020-10-11,4.095879077911377,0.07809335410709672,-0.7121687164024636,0.06,1.0,long_only,0.0,1.0,-0.001,0.07809335410709672,0.07809335410709672,0.07909335410709672
2020-10-12,4.415740013122559,0.016376368476875625,0.24868842708140915,0.06,1.0,long_only,1.0,1.0,0.015376368476875624,0.016376368476875625,0.016376368476875625,0.0010000000000000009
2020-10-13,4.488053798675537,-0.07531057525654927,-0.17063086994231447,0.06,1.0,long_only,0.0,-1.0,-0.001,-0.07531057525654927,0.07331057525654927,0.07431057525654927
2020-10-14,4.150055885314941,-0.005470454993038221,-0.9418871722629522,0.06,1.0,long_only,0.0,-1.0,-0.0,-0.005470454993038221,0.005470454993038221,0.005470454993038221
2020-10-15,4.127353191375732,-0.021048127086850554,-0.9643430778742409,0.06,1.0,long_only,0.0,-1.0,-0.0,-0.021048127086850554,0.021048127086850554,0.021048127086850554
2020-10-16,4.040480136871338,0.03849270803178051,-0.9899940653563697,0.06,1.0,long_only,0.0,1.0,0.0,0.03849270803178051,0.03649270803178051,0.03649270803178051
2020-10-17,4.196009159088135,-0.019053103020124973,-0.9969050560298943,0.06,1.0,long_only,0.0,-1.0,-0.0,-0.019053103020124973,0.01705310302012497,0.01705310302012497
2020-10-18,4.116062164306641,-0.01597426693765802,-0.9569314614564781,0.06,1.0,long_only,0.0,-1.0,-0.0,-0.01597426693765802,0.01597426693765802,0.01597426693765802
2020-10-19,4.050311088562012,-0.06125703692837792,-0.46935461083882923,0.06,1.0,long_only,0.0,-1.0,-0.0,-0.06125703692837792,0.06125703692837792,0.06125703692837792
2020-10-20,3.80220103263855,0.04306927436733843,0.9888456238812249,0.06,1.0,long_only,1.0,1.0,0.04206927436733843,0.04306927436733843,0.041069274367338426,-0.0010000000000000009
2020-10-21,3.965959072113037,0.0878632629488294,0.7547897340220548,0.06,1.0,long_only,1.0,1.0,0.0878632629488294,0.0878632629488294,0.0878632629488294,0.0
2020-10-22,4.3144211769104,-0.012125667150420183,-0.6753967292091938,0.06,1.0,long_only,0.0,-1.0,-0.001,-0.012125667150420183,0.010125667150420183,0.011125667150420182
2020-10-23,4.262105941772461,-0.016988272021788542,-0.9924530150095201,0.06,1.0,long_only,0.0,-1.0,-0.0,-0.016988272021788542,0.016988272021788542,0.016988272021788542
2020-10-24,4.189700126647949,-0.008709445169931218,-0.2604076671838742,0.06,1.0,long_only,0.0,-1.0,-0.0,-0.008709445169931218,0.008709445169931218,0.008709445169931218
2020-10-25,4.153210163116455,0.0018691346285548693,0.0965999016909096,0.06,1.0,long_only,1.0,-1.0,0.0008691346285548693,0.0018691346285548693,-0.0018691346285548693,-0.0027382692571097387
2020-10-26,4.160973072052002,-0.00930795365172421,-0.17829175054406066,0.06,1.0,long_only,0.0,-1.0,-0.001,-0.00930795365172421,0.00930795365172421,0.010307953651724211
2020-10-27,4.1222429275512695,-0.013496750133314528,0.7398074592172674,0.06,1.0,long_only,1.0,-1.0,-0.014496750133314529,-0.013496750133314528,0.013496750133314528,0.027993500266629057
