date,close,target_return,prediction_score,threshold,position_scale,trade_mode,model_position,oracle_position,model_return,buyhold_return,oracle_return,oracle_minus_model
2020-06-01,246.99176025390625,-0.03956692752858926,-0.1659628805019836,0.0,1.0,long_short,-1.0,-1.0,0.03856692752858926,-0.04056692752858926,0.03856692752858926,0.0
2020-06-02,237.21905517578125,0.02934109196296908,-0.21928279080743396,0.0,1.0,long_short,-1.0,1.0,-0.02934109196296908,0.02934109196296908,0.027341091962969077,0.05668218392593816
2020-06-03,244.1793212890625,0.0010118396234197746,-0.5019836343054614,0.0,1.0,long_short,-1.0,1.0,-0.0010118396234197746,0.0010118396234197746,0.0010118396234197746,0.0020236792468395493
2020-06-04,244.4263916015625,-0.01310990485636565,-0.3706979847837969,0.0,1.0,long_short,-1.0,-1.0,0.01310990485636565,-0.01310990485636565,0.01110990485636565,-0.002
2020-06-05,241.22198486328125,0.0029405915366731428,-0.41212889648203554,0.0,1.0,long_short,-1.0,1.0,-0.0029405915366731428,0.0029405915366731428,0.0009405915366731427,0.0038811830733462855
2020-06-06,241.9313201904297,0.013375413294720584,-0.8597383482016625,0.0,1.0,long_short,-1.0,1.0,-0.013375413294720584,0.013375413294720584,0.013375413294720584,0.026750826589441168
2020-06-07,245.16725158691406,0.00466071390672762,-0.20797659945314584,0.0,1.0,long_short,-1.0,1.0,-0.00466071390672762,0.00466071390672762,0.00466071390672762,0.00932142781345524
2020-06-08,246.30990600585938,-0.005677614763718863,-0.7156660594492572,0.0,1.0,long_short,-1.0,-1.0,0.005677614763718863,-0.005677614763718863,0.0036776147637188634,-0.002
2020-06-09,244.9114532470703,0.01034452659686913,-0.7975197570684773,0.0,1.0,long_short,-1.0,1.0,-0.01034452659686913,0.01034452659686913,0.00834452659686913,0.01868905319373826
2020-06-10,247.4449462890625,-0.06361931932262788,-0.6602118945728803,0.0,1.0,long_short,-1.0,-1.0,0.06361931932262788,-0.06361931932262788,0.061619319322627875,-0.0020000000000000018
2020-06-11,231.70266723632812,0.02499126432857568,0.17899509700296834,0.0,1.0,long_short,1.0,1.0,0.022991264328575678,0.02499126432857568,0.022991264328575678,0.0
2020-06-12,237.4932098388672,0.005960735282637852,-0.24972037321696972,0.0,1.0,long_short,-1.0,1.0,-0.007960735282637852,0.005960735282637852,0.005960735282637852,0.013921470565275705
2020-06-13,238.90884399414062,-0.020066832171668714,-0.022024396560041182,0.0,1.0,long_short,-1.0,-1.0,0.020066832171668714,-0.020066832171668714,0.018066832171668712,-0.0020000000000000018
2020-06-14,234.1147003173828,-0.017879231889114333,-0.23656377561721076,0.0,1.0,long_short,-1.0,-1.0,0.017879231889114333,-0.017879231889114333,0.017879231889114333,0.0
2020-06-15,229.9289093017578,0.01951585350776286,0.7077054492710584,0.0,1.0,long_short,1.0,1.0,0.017515853507762857,0.01951585350776286,0.017515853507762857,0.0
2020-06-16,234.41616821289062,-0.005920639720965681,-0.6315144380396018,0.0,1.0,long_short,-1.0,-1.0,0.003920639720965681,-0.005920639720965681,0.003920639720965681,0.0
2020-06-17,233.0282745361328,-0.003978524779853165,-0.3940727736366205,0.0,1.0,long_short,-1.0,-1.0,0.003978524779853165,-0.003978524779853165,0.003978524779853165,0.0
2020-06-18,232.10116577148438,-0.021382380177690008,-0.677666993473411,0.0,1.0,long_short,-1.0,-1.0,0.021382380177690008,-0.021382380177690008,0.021382380177690008,0.0
2020-06-19,227.13829040527344,0.009403835282570938,0.37489294933657513,0.0,1.0,long_short,1.0,1.0,0.007403835282570938,0.009403835282570938,0.007403835282570938,0.0
2020-06-20,229.27426147460938,-0.0012406062725255351,-0.40810247484632156,0.0,1.0,long_short,-1.0,1.0,-0.0007593937274744649,-0.0012406062725255351,-0.0012406062725255351,-0.0004812125450510702
2020-06-21,228.9898223876953,0.05914396254513776,0.13293081608226154,0.0,1.0,long_short,1.0,1.0,0.05714396254513776,0.05914396254513776,0.05914396254513776,0.0020000000000000018
2020-06-22,242.53318786621094,0.0066339911121064965,-0.001405163511843388,0.0,1.0,long_short,-1.0,1.0,-0.008633991112106497,0.0066339911121064965,0.0066339911121064965,0.015267982224212993
2020-06-23,244.14215087890625,-0.03428203573727662,0.8884396980696745,0.0,1.0,long_short,1.0,-1.0,-0.03628203573727662,-0.03428203573727662,0.032282035737276615,0.06856407147455323
2020-06-24,235.7724609375,-0.01199449842812228,-0.7783627930696335,0.0,1.0,long_short,-1.0,-1.0,0.00999449842812228,-0.01199449842812228,0.01199449842812228,0.002
2020-06-25,232.94448852539062,-0.014065340211250277,-0.2954904068074342,0.0,1.0,long_short,-1.0,-1.0,0.014065340211250277,-0.014065340211250277,0.014065340211250277,0.0
2020-06-26,229.6680450439453,-0.029208468909296514,-0.30200412507039576,0.0,1.0,long_short,-1.0,-1.0,0.029208468909296514,-0.029208468909296514,0.029208468909296514,0.0
2020-06-27,222.9597930908203,0.01070764753067932,0.8314048102019536,0.0,1.0,long_short,1.0,1.0,0.00870764753067932,0.01070764753067932,0.00870764753067932,0.0
2020-06-28,225.34716796875,0.012636955023823893,-0.4016048892715439,0.0,1.0,long_short,-1.0,1.0,-0.014636955023823893,0.012636955023823893,0.012636955023823893,0.027273910047647787
2020-06-29,228.1948699951172,-0.008237992176384878,-0.4549308527126762,0.0,1.0,long_short,-1.0,-1.0,0.008237992176384878,-0.008237992176384878,0.006237992176384878,-0.002
2020-06-30,226.31500244140625,0.021202377597294486,-0.23251398687020353,0.0,1.0,long_short,-1.0,1.0,-0.021202377597294486,0.021202377597294486,0.019202377597294484,0.04040475519458897
2020-07-01,231.11341857910156,-0.00744752050491182,-0.28971595223466284,0.09,1.0,long_short,-1.0,-1.0,0.00744752050491182,-0.00744752050491182,0.00544752050491182,-0.002
2020-07-02,229.39219665527344,-0.017459734949675898,-0.5378892219760283,0.09,1.0,long_short,-1.0,-1.0,0.017459734949675898,-0.017459734949675898,0.017459734949675898,0.0
2020-07-03,225.38706970214844,0.016358712330749814,-0.062456341605371835,0.09,1.0,long_short,0.0,1.0,-0.001,0.016358712330749814,0.014358712330749814,0.015358712330749813
2020-07-04,229.07411193847656,-0.006153097654430395,-0.30360863939669736,0.09,1.0,long_short,-1.0,-1.0,0.005153097654430395,-0.006153097654430395,0.004153097654430395,-0.001
