date,actual_next_ret,model_prediction,model_position,oracle_position,model_return,oracle_return,daily_return_gap
2019-05-21,-0.03603170357702423,-0.01616959124252723,0.0,0.0,-0.0,-0.0,0.0
2019-05-22,0.010953355908560614,-0.021587315544057212,0.0,1.0,0.0,0.0017383389771401534,0.0017383389771401534
2019-05-23,0.12028084169006692,0.0044165423663937164,1.0,1.0,0.02907021042251673,0.03007021042251673,0.0010000000000000009
2019-05-24,0.027719750826492584,0.0127117822777493,1.0,1.0,0.006929937706623146,0.006929937706623146,0.0
2019-05-25,0.08518639393181449,-0.043073082264325824,0.0,1.0,-0.001,0.02129659848295362,0.022296598482953622
2019-05-26,0.05936170706660482,-0.029988450149796148,0.0,1.0,0.0,0.014840426766651205,0.014840426766651205
2019-05-27,-0.026276134043498378,-0.07141738374996925,0.0,0.0,-0.0,-0.001,-0.001
2019-05-28,0.0013057398051559144,-0.037950909774990715,0.0,0.0,0.0,0.0,0.0
2019-05-29,-0.054619264598668504,-0.03803190636210971,0.0,0.0,-0.0,-0.0,0.0
2019-05-30,0.052772170427966225,-0.07148539949027316,0.0,1.0,0.0,0.012193042606991555,0.012193042606991555
2019-05-31,-0.01674294931693321,0.13324326664234415,1.0,0.0,-0.005185737329233302,-0.001,0.004185737329233302
2019-06-01,0.018500961267937432,0.012258316181192552,1.0,1.0,0.004625240316984358,0.003625240316984358,-0.001
2019-06-02,-0.06306958806943841,0.11295506422091034,1.0,0.0,-0.015767397017359602,-0.001,0.014767397017359601
2019-06-03,-0.05006814864077913,-0.08461371052329048,0.0,0.0,-0.001,-0.0,0.001
2019-06-04,0.017254428061584948,-0.02663640488826563,0.0,1.0,0.0,0.003313607015396237,0.003313607015396237
2019-06-05,0.06988911185011393,-0.07005905464242557,0.0,1.0,0.0,0.017472277962528482,0.017472277962528482
2019-06-06,0.05640667481239836,-0.10906818998580879,0.0,1.0,0.0,0.01410166870309959,0.01410166870309959
2019-06-07,0.01003302089980318,-0.017986593150701002,0.0,1.0,0.0,0.002508255224950795,0.002508255224950795
2019-06-08,-0.028845824646505425,-0.0007857115296406036,0.0,0.0,-0.0,-0.001,-0.001
2019-06-09,0.1210706305592062,0.018570386591967997,1.0,1.0,0.029267657639801548,0.029267657639801548,0.0
2019-06-10,0.053910436270943496,0.03452224113632146,1.0,1.0,0.013477609067735874,0.013477609067735874,0.0
2019-06-11,-0.0027640413265738184,-0.01722650227202488,0.0,0.0,-0.001,-0.001,0.0
2019-06-12,-0.031712995562306556,0.005160760621735816,1.0,0.0,-0.00892824889057664,-0.0,0.00892824889057664
2019-06-13,0.012953823817541066,0.020840247139859325,1.0,1.0,0.0032384559543852665,0.0022384559543852664,-0.001
2019-06-14,0.03813376462866769,0.016932239635362528,1.0,1.0,0.009533441157166922,0.009533441157166922,0.0
2019-06-15,-0.007274728171203448,0.08436151444269435,1.0,0.0,-0.001818682042800862,-0.001,0.0008186820428008621
2019-06-16,-0.01957492863695587,0.06256868944142513,1.0,0.0,-0.004893732159238967,-0.0,0.004893732159238967
2019-06-17,0.00536040092911505,-0.008266343533888054,0.0,1.0,-0.001,0.0003401002322787625,0.0013401002322787625
2019-06-18,0.010687122696780182,-0.05462638191800254,0.0,1.0,0.0,0.0026717806741950456,0.0026717806741950456
2019-06-19,-0.008223468339926154,-0.04344243602948841,0.0,0.0,-0.0,-0.001,-0.001
2019-06-20,0.02512488445801342,-0.04067275735971643,0.0,1.0,0.0,0.005281221114503355,0.005281221114503355
2019-06-21,0.021739670217798768,0.039841068317765405,1.0,1.0,0.004434917554449692,0.005434917554449692,0.001
2019-06-22,-0.035382426080334595,-0.014672680325320653,0.0,0.0,-0.001,-0.001,0.0
2019-06-23,-0.009858194055988867,0.041543293174398255,1.0,0.0,-0.0034645485139972168,-0.0,0.0034645485139972168
2019-06-24,0.007058326836311579,0.049022283239911923,1.0,1.0,0.0017645817090778948,0.0007645817090778948,-0.001
2019-06-25,-0.03827626456838473,0.042972186472844176,1.0,0.0,-0.009569066142096183,-0.001,0.008569066142096182
2019-06-26,-0.12844482050694273,-0.012027306863335946,0.0,0.0,-0.001,-0.0,0.001
2019-06-27,0.05021926259107712,0.009759364579287666,1.0,1.0,0.011554815647769279,0.011554815647769279,0.0
2019-06-28,0.11246506213078189,-0.07117098024834836,0.0,1.0,-0.001,0.028116265532695472,0.029116265532695473
2019-06-29,-0.08539150320261235,-0.02634284924619923,0.0,0.0,-0.0,-0.001,-0.001
2019-06-30,0.00273705340103092,0.07581646076161902,1.0,1.0,-0.00031573664974227,-0.00031573664974227,0.0
2019-07-01,-0.027246842389691883,-0.04622471642094181,0.0,0.0,-0.001,-0.001,0.0
2019-07-02,0.027845658629093384,-0.09976438834122706,0.0,1.0,0.0,0.005961414657273346,0.005961414657273346
2019-07-03,-0.021108921634756972,-0.0046874468112990675,0.0,0.0,-0.0,-0.001,-0.001
2019-07-04,-0.013539375089622885,-0.007402117108278539,0.0,0.0,-0.0,-0.0,0.0
2019-07-05,-0.004468725624810599,0.04347238052515112,1.0,0.0,-0.0021171814062026497,-0.0,0.0021171814062026497
2019-07-06,0.021194844806621926,-0.01432505348513724,0.0,1.0,-0.001,0.004298711201655482,0.005298711201655482
2019-07-07,0.02463917576761654,0.03083496747960418,1.0,1.0,0.005159793941904135,0.006159793941904135,0.001
2019-07-08,-0.031249978727387218,0.06943960587779313,1.0,0.0,-0.007812494681846804,-0.001,0.006812494681846804
2019-07-09,-0.09153728899245439,0.01908953026150323,1.0,0.0,-0.022884322248113598,-0.0,0.022884322248113598
2019-07-10,-0.05397182517041632,0.023931112381618713,1.0,0.0,-0.01349295629260408,-0.0,0.01349295629260408
2019-07-11,0.02587337073839535,0.0768409210280998,1.0,1.0,0.006468342684598838,0.005468342684598838,-0.001
2019-07-12,-0.040600746752853856,0.009104823613564156,1.0,0.0,-0.010150186688213464,-0.001,0.009150186688213463
2019-07-13,-0.1114015443239833,-0.0521048263027743,0.0,0.0,-0.001,-0.0,0.001
2019-07-14,0.012838255656192343,-0.03129563349282699,0.0,1.0,0.0,0.002209563914048086,0.002209563914048086
2019-07-15,-0.12563427966505603,-0.013138430538311485,0.0,0.0,-0.0,-0.001,-0.001
2019-07-16,0.129695596492011,0.056984575065472665,1.0,1.0,0.03142389912300275,0.03142389912300275,0.0
2019-07-17,0.12553842186041386,-0.12937710912278985,0.0,1.0,-0.001,0.031384605465103466,0.032384605465103466
2019-07-18,-0.02653955615425463,-0.002010129208360495,0.0,0.0,-0.0,-0.001,-0.001
2019-07-19,0.022431132423562872,0.1103915094257712,1.0,1.0,0.004607783105890718,0.004607783105890718,0.0
2019-07-20,-0.009763977740141816,0.1394413033495226,1.0,0.0,-0.002440994435035454,-0.001,0.001440994435035454
2019-07-21,-0.0422593540840841,-0.2711419090069056,0.0,0.0,-0.001,-0.0,0.001
2019-07-22,-0.05025039683212351,0.0498750410434976,1.0,0.0,-0.013562599208030879,-0.0,0.013562599208030879
2019-07-23,0.040685669218339715,0.041798490886404804,1.0,1.0,0.010171417304584929,0.009171417304584928,-0.0010000000000000009
2019-07-24,-0.00915441565193853,-0.016380695053638455,0.0,0.0,-0.001,-0.001,0.0
2019-07-25,0.009189189983569879,0.037844071150055336,1.0,1.0,0.0012972974958924697,0.0012972974958924697,0.0
2019-07-26,-0.057430590562204675,0.08503191465729676,1.0,0.0,-0.014357647640551169,-0.001,0.013357647640551168
2019-07-27,0.00990347323657259,0.01855465117970362,1.0,1.0,0.0024758683091431477,0.0014758683091431477,-0.001
2019-07-28,0.007319751771295513,0.054369165452005264,1.0,1.0,0.0018299379428238782,0.0018299379428238782,0.0
2019-07-29,0.0015540349222924466,0.02633460420510597,1.0,1.0,0.00038850873057311164,0.00038850873057311164,0.0
2019-07-30,0.08769895788747362,0.06756648261901232,1.0,1.0,0.021924739471868404,0.021924739471868404,0.0
2019-07-31,0.00680289969359138,-0.026719546299876995,0.0,1.0,-0.001,0.001700724923397845,0.002700724923397845
2019-08-01,-0.042734881652901624,-0.03788455145967323,0.0,0.0,-0.0,-0.001,-0.001
2019-08-02,-0.0037961627737381765,-0.029566121636922793,0.0,0.0,-0.0,-0.0,0.0
2019-08-03,-0.014560005098046669,0.02489905753152538,1.0,0.0,-0.004640001274511667,-0.0,0.004640001274511667
2019-08-04,0.03895622002084731,-0.010080599888122321,0.0,1.0,-0.001,0.008739055005211827,0.009739055005211827
2019-08-05,-0.03887999592824354,0.033633021947423736,1.0,0.0,-0.010719998982060885,-0.001,0.009719998982060885
2019-08-06,-0.023177461058983218,0.05370894598712955,1.0,0.0,-0.005794365264745804,-0.0,0.005794365264745804
2019-08-07,-0.009690506018078415,-0.024082065132499275,0.0,0.0,-0.001,-0.0,0.001
2019-08-08,-0.062114093467777076,-0.020626800487203167,0.0,0.0,-0.0,-0.0,0.0
2019-08-09,0.01160717399683664,0.01200068494528328,1.0,1.0,0.0019017934992091598,0.0019017934992091598,0.0
2019-08-10,0.05072836957005222,-0.00989379306223323,0.0,1.0,-0.001,0.012682092392513056,0.013682092392513057
2019-08-11,-0.04460525624567435,-0.01165677724695352,0.0,0.0,-0.0,-0.001,-0.001
2019-08-12,-0.01566295407650442,-0.008119316462313508,0.0,0.0,-0.0,-0.0,0.0
2019-08-13,-0.09882166973597883,-0.026945109787577415,0.0,0.0,-0.0,-0.0,0.0
2019-08-14,0.004259382406602175,0.00033427796310919744,0.0,1.0,0.0,6.484560165054363e-05,6.484560165054363e-05
2019-08-15,-0.019228249292681077,-0.08460087980280806,0.0,0.0,-0.0,-0.001,-0.001
2019-08-16,-0.02832921280326328,-0.03561937962192646,0.0,0.0,-0.0,-0.0,0.0
2019-08-17,0.047696945935349566,-0.05125338547121472,0.0,1.0,0.0,0.01092423648383739,0.01092423648383739
2019-08-18,0.013022695637778137,0.044529164018349776,1.0,1.0,0.002255673909444534,0.003255673909444534,0.001
2019-08-19,-0.026747892103922588,0.024139925726069045,1.0,0.0,-0.006686973025980647,-0.001,0.005686973025980647
2019-08-20,-0.029677063003415882,-0.016867849317119515,0.0,0.0,-0.001,-0.0,0.001
2019-08-21,0.008684225770421383,0.028639938975497825,1.0,1.0,0.0011710564426053458,0.0011710564426053458,0.0
2019-08-22,0.02451435540492275,0.021978644710033912,1.0,1.0,0.006128588851230687,0.006128588851230687,0.0
2019-08-23,-0.025717890099945406,-0.011630651905457146,0.0,0.0,-0.001,-0.001,0.0
2019-08-24,-0.0157284908344284,-0.090261572065084,0.0,0.0,-0.0,-0.0,0.0
2019-08-25,0.021422678569714027,-0.03689032760886707,0.0,1.0,0.0,0.004355669642428507,0.004355669642428507
2019-08-26,-0.013823305313054757,0.006563255697015935,1.0,0.0,-0.004455826328263689,-0.001,0.003455826328263689
2019-08-27,-0.07428559756734987,-0.016741862542562325,0.0,0.0,-0.001,-0.0,0.001
2019-08-28,-0.04935060996756924,0.006123946637977606,1.0,0.0,-0.01333765249189231,-0.0,0.01333765249189231
2019-08-29,0.003665077260381011,-0.008727904532140285,0.0,1.0,-0.001,-8.373068490474724e-05,0.0009162693150952528
2019-08-30,0.0037783500777728296,-0.014260044621676682,0.0,1.0,0.0,0.0009445875194432074,0.0009445875194432074
2019-08-31,0.024291857196596656,-0.0046786216080054455,0.0,1.0,0.0,0.006072964299149164,0.006072964299149164
2019-09-01,0.012098197854348403,-0.0004668401192217675,0.0,1.0,0.0,0.0030245494635871006,0.0030245494635871006
2019-09-02,0.03262834845404505,-0.021650889607176954,0.0,1.0,0.0,0.008157087113511263,0.008157087113511263
2019-09-03,-0.026669285976794854,-0.036159811919789286,0.0,0.0,-0.0,-0.001,-0.001
2019-09-04,-0.02809010549862334,0.006901514622948829,1.0,0.0,-0.008022526374655836,-0.0,0.008022526374655836
2019-09-05,-0.0025592869789377026,0.005670109292753661,1.0,0.0,-0.0006398217447344257,-0.0,0.0006398217447344257
2019-09-06,0.058418116141462306,0.03826601475441688,1.0,1.0,0.014604529035365577,0.013604529035365576,-0.0010000000000000009
2019-09-07,0.02188132180179947,-0.014137633917149728,0.0,1.0,-0.001,0.005470330450449867,0.006470330450449867
2019-09-08,-0.005062156599831225,0.01127242674618456,1.0,0.0,-0.002265539149957806,-0.001,0.0012655391499578061
2019-09-09,0.008991833579939268,-0.05542634653948059,0.0,1.0,-0.001,0.001247958394984817,0.002247958394984817
2019-09-10,-0.012725353669366779,-0.029505033982663603,0.0,0.0,-0.0,-0.001,-0.001
2019-09-11,-0.009969192025824802,-0.029689622947156352,0.0,0.0,-0.0,-0.0,0.0
2019-09-12,-0.0034157828720194905,0.052840052073666655,1.0,0.0,-0.0018539457180048726,-0.0,0.0018539457180048726
2019-09-13,0.022810787664794496,0.025990983514967148,1.0,1.0,0.005702696916198624,0.004702696916198624,-0.001
2019-09-14,-0.0035022060297498214,-0.02195992511572259,0.0,0.0,-0.001,-0.001,0.0
2019-09-15,0.032111624220909185,0.01113598384537523,1.0,1.0,0.007027906055227296,0.007027906055227296,0.0
2019-09-16,0.02270974757637556,0.0034263006442838417,1.0,1.0,0.00567743689409389,0.00567743689409389,0.0
2019-09-17,0.050496359856398776,0.0013460371766544632,0.0,1.0,-0.001,0.012624089964099694,0.013624089964099695
2019-09-18,-0.011664972205288504,0.03488548500408867,1.0,0.0,-0.003916243051322126,-0.001,0.002916243051322126
2019-09-19,-0.02479288112432443,0.03733014646337124,1.0,0.0,-0.006198220281081107,-0.0,0.006198220281081107
2019-09-20,-0.021724391879667904,0.0357787287378592,1.0,0.0,-0.005431097969916976,-0.0,0.005431097969916976
