date,actual_next_ret,model_prediction,model_position,oracle_position,model_return,oracle_return,daily_return_gap
2019-05-21,-0.07873118324826023,-0.07917863081166782,-1.0,-1.0,0.07773118324826023,0.07773118324826023,0.0
2019-05-22,0.03508429702809246,0.21261020787132787,1.0,1.0,0.03308429702809246,0.03308429702809246,0.0
2019-05-23,0.002218369149184163,0.08006051893791438,1.0,1.0,0.002218369149184163,0.002218369149184163,0.0
2019-05-24,-0.004538120460624295,-0.029629855189159726,-1.0,-1.0,0.0025381204606242953,0.0025381204606242953,0.0
2019-05-25,0.06847033484019494,0.07750199942874986,1.0,1.0,0.06647033484019493,0.06647033484019493,0.0
2019-05-26,0.06604739322370867,-0.012954029491802327,-1.0,1.0,-0.06804739322370867,0.06604739322370867,0.13409478644741735
2019-05-27,0.012214336527019531,-0.1234755118159731,-1.0,1.0,-0.012214336527019531,0.012214336527019531,0.024428673054039063
2019-05-28,-0.020987976802255504,-0.19912494621123955,-1.0,-1.0,0.020987976802255504,0.018987976802255502,-0.0020000000000000018
2019-05-29,-0.06995938491772935,-0.2473249427315199,-1.0,-1.0,0.06995938491772935,0.06995938491772935,0.0
2019-05-30,0.05834815926310566,-0.02990453174691407,-1.0,1.0,-0.05834815926310566,0.05634815926310566,0.11469631852621132
2019-05-31,0.012209185703308867,0.04284587407435972,1.0,1.0,0.010209185703308867,0.012209185703308867,0.002
2019-06-01,0.06677121657945673,-0.1032043038578146,-1.0,1.0,-0.06877121657945673,0.06677121657945673,0.13554243315891346
2019-06-02,-0.08148857317426916,-0.11443547768649887,-1.0,-1.0,0.08148857317426916,0.07948857317426916,-0.0020000000000000018
2019-06-03,-0.07014017755140056,-0.061891533739591026,-1.0,-1.0,0.07014017755140056,0.07014017755140056,0.0
2019-06-04,0.011541326937813956,0.23666449469543624,1.0,1.0,0.009541326937813956,0.009541326937813956,0.0
2019-06-05,0.0004074522234809308,0.06689533735260123,1.0,1.0,0.0004074522234809308,0.0004074522234809308,0.0
2019-06-06,0.02797350666608822,-0.028263589164778724,-1.0,1.0,-0.029973506666088223,0.02797350666608822,0.057947013332176445
2019-06-07,-0.018576567266262112,-0.11656473589427224,-1.0,-1.0,0.018576567266262112,0.01657656726626211,-0.0020000000000000018
2019-06-08,-0.05632149617115212,0.016548687233981868,1.0,-1.0,-0.05832149617115212,0.05632149617115212,0.11464299234230424
2019-06-09,0.07634327722225254,-0.002674983668156633,-1.0,1.0,-0.07834327722225254,0.07434327722225254,0.15268655444450507
2019-06-10,0.028385320535143643,-0.0020062122482388256,-1.0,1.0,-0.028385320535143643,0.028385320535143643,0.05677064107028729
2019-06-11,0.09731145537079611,-0.08112422538026998,-1.0,1.0,-0.09731145537079611,0.09731145537079611,0.19462291074159221
2019-06-12,-0.07030299259781625,-0.0014981452663870298,-1.0,-1.0,0.07030299259781625,0.06830299259781625,-0.0020000000000000018
2019-06-13,0.009806165685518842,-0.10790026322251114,-1.0,1.0,-0.009806165685518842,0.007806165685518842,0.01761233137103768
2019-06-14,0.011741495045991535,-0.14150375368936452,-1.0,1.0,-0.011741495045991535,0.011741495045991535,0.02348299009198307
2019-06-15,0.006958767326827653,0.020029661367779228,1.0,1.0,0.004958767326827653,0.006958767326827653,0.002
2019-06-16,0.013388060719313755,-0.16093667210133855,-1.0,1.0,-0.015388060719313755,0.013388060719313755,0.02877612143862751
2019-06-17,-0.04712635366641482,0.006393742312198358,1.0,-1.0,-0.049126353666414824,0.04512635366641482,0.09425270733282964
2019-06-18,0.009321583299359837,0.004037001624714431,1.0,1.0,0.009321583299359837,0.007321583299359837,-0.002
2019-06-19,-0.02882896653635325,-0.016387837623495882,-1.0,-1.0,0.02682896653635325,0.02682896653635325,0.0
2019-06-20,0.024912743327942577,0.08378342440039918,1.0,1.0,0.022912743327942575,0.022912743327942575,0.0
2019-06-21,0.05364997095037216,-0.028979634631640355,-1.0,1.0,-0.05564997095037216,0.05364997095037216,0.10929994190074432
2019-06-22,0.02412921677434321,-0.05934789179797789,-1.0,1.0,-0.02412921677434321,0.02412921677434321,0.04825843354868642
2019-06-23,0.011123293526080325,-0.031247482077013083,-1.0,1.0,-0.011123293526080325,0.011123293526080325,0.02224658705216065
2019-06-24,-0.013937882625772557,0.0020563194345953606,1.0,-1.0,-0.01593788262577256,0.011937882625772557,0.027875765251545115
2019-06-25,0.004804985270804973,-0.05508436968411057,-1.0,1.0,-0.0068049852708049734,0.0028049852708049734,0.009609970541609947
2019-06-26,-0.10711629739529782,-0.05713046280469261,-1.0,-1.0,0.10711629739529782,0.10511629739529782,-0.0020000000000000018
2019-06-27,0.03292117513178505,-0.059484875786913444,-1.0,1.0,-0.03292117513178505,0.03092117513178505,0.0638423502635701
2019-06-28,0.012621055768841094,-0.05735042882667629,-1.0,1.0,-0.012621055768841094,0.012621055768841094,0.025242111537682188
2019-06-29,-0.09205721543790146,-0.032091013813362934,-1.0,-1.0,0.09205721543790146,0.09005721543790146,-0.0020000000000000018
2019-06-30,0.020999260641181294,-0.012909649630025805,-1.0,1.0,-0.020999260641181294,0.018999260641181293,0.03999852128236259
2019-07-01,-0.03274790811845052,-0.0503189517443178,-1.0,-1.0,0.03274790811845052,0.030747908118450518,-0.0020000000000000018
2019-07-02,0.023693501848148557,0.08541135127959826,1.0,1.0,0.021693501848148555,0.021693501848148555,0.0
2019-07-03,-0.06294123872747126,0.010614709512914516,1.0,-1.0,-0.06294123872747126,0.06094123872747126,0.12388247745494252
2019-07-04,-0.015969402173652725,0.018424503610533577,1.0,-1.0,-0.015969402173652725,0.015969402173652725,0.03193880434730545
2019-07-05,0.010492359241199622,0.07361970978420301,1.0,1.0,0.010492359241199622,0.008492359241199622,-0.002
2019-07-06,0.03399491778589958,0.05298732406986531,1.0,1.0,0.03399491778589958,0.03399491778589958,0.0
2019-07-07,0.006402930290984932,0.0007954531692982159,1.0,1.0,0.006402930290984932,0.006402930290984932,0.0
2019-07-08,-0.030853954142212037,-0.007115987702342591,-1.0,-1.0,0.028853954142212035,0.028853954142212035,0.0
2019-07-09,-0.07760953981560836,0.057721230254690836,1.0,-1.0,-0.07960953981560837,0.07760953981560836,0.15721907963121673
2019-07-10,-0.09370301636673262,-0.05355579589844919,-1.0,-1.0,0.09170301636673261,0.09370301636673262,0.0020000000000000018
2019-07-11,0.06986294607319832,0.010235415547112187,1.0,1.0,0.06786294607319832,0.06786294607319832,0.0
2019-07-12,-0.04277883575300434,0.0026825654413065725,1.0,-1.0,-0.04277883575300434,0.04077883575300434,0.08355767150600868
2019-07-13,-0.10994459990818728,0.04465379630165457,1.0,-1.0,-0.10994459990818728,0.10994459990818728,0.21988919981637456
2019-07-14,0.0018172927209061385,-0.012565011054614883,-1.0,-1.0,-0.0038172927209061385,-0.0018172927209061385,0.002
2019-07-15,-0.12572017668551594,0.12813907620901074,1.0,-1.0,-0.12772017668551594,0.12572017668551594,0.2534403533710319
2019-07-16,0.06122725030026621,-0.04420394005933723,-1.0,1.0,-0.06322725030026621,0.05922725030026621,0.12245450060053242
2019-07-17,0.06395847183719883,-0.04879748692649796,-1.0,1.0,-0.06395847183719883,0.06395847183719883,0.12791694367439765
2019-07-18,0.017270128987507904,0.018942336445765068,1.0,1.0,0.015270128987507904,0.017270128987507904,0.002
2019-07-19,0.05303829515087943,0.0023210761196326146,1.0,1.0,0.05303829515087943,0.05303829515087943,0.0
2019-07-20,-0.02787577159032817,0.06744211509437448,1.0,-1.0,-0.02787577159032817,0.025875771590328167,0.053751543180656336
2019-07-21,-0.028380938526287758,-0.0763003292306203,-1.0,-1.0,0.026380938526287756,0.028380938526287758,0.0020000000000000018
2019-07-22,-0.061446866752495444,-0.11765081201667404,-1.0,-1.0,0.061446866752495444,0.061446866752495444,0.0
2019-07-23,0.05794450911498661,-0.07903650872366519,-1.0,1.0,-0.05794450911498661,0.05594450911498661,0.11388901822997322
2019-07-24,-0.006469510487039809,-0.003179203675736708,-1.0,-1.0,0.006469510487039809,0.004469510487039809,-0.002
2019-07-25,0.07193510994571972,-0.04460919770800986,-1.0,1.0,-0.07193510994571972,0.06993510994571972,0.14187021989143944
2019-07-26,-0.0479136740256213,0.04641240353615206,1.0,-1.0,-0.0499136740256213,0.0459136740256213,0.0958273480512426
2019-07-27,-0.006630930941787128,-0.08463687233648615,-1.0,-1.0,0.004630930941787128,0.006630930941787128,0.002
2019-07-28,0.01545211911358213,-0.03946894947462892,-1.0,1.0,-0.01545211911358213,0.01345211911358213,0.02890423822716426
2019-07-29,-0.007434604631171404,0.006571274769206825,1.0,-1.0,-0.009434604631171404,0.005434604631171404,0.014869209262342808
2019-07-30,0.0034699316609589914,-0.1223248260098101,-1.0,1.0,-0.0054699316609589915,0.0014699316609589914,0.006939863321917983
2019-07-31,-0.021279463031052992,-0.11673519886644007,-1.0,-1.0,0.021279463031052992,0.01927946303105299,-0.0020000000000000018
2019-08-01,-0.02479958024042017,-0.08796159597869485,-1.0,-1.0,0.02479958024042017,0.02479958024042017,0.0
2019-08-02,0.0061137146645058316,-0.030659848292667297,-1.0,1.0,-0.0061137146645058316,0.0041137146645058315,0.010227429329011663
2019-08-03,-0.025829638601754912,0.021565365445512324,1.0,-1.0,-0.027829638601754914,0.02382963860175491,0.051659277203509824
2019-08-04,0.007268390637036548,-0.006367503299756078,-1.0,1.0,-0.009268390637036548,0.005268390637036548,0.014536781274073096
2019-08-05,-0.058415679028785084,-0.009609181669691325,-1.0,-1.0,0.058415679028785084,0.05641567902878508,-0.0020000000000000018
2019-08-06,-0.027412912292026914,-0.05932620299039215,-1.0,-1.0,0.027412912292026914,0.027412912292026914,0.0
