date,actual_next_ret,model_prediction,model_position,oracle_position,model_return,oracle_return,daily_return_gap
2019-05-21,-0.052730973186132735,-0.10897597258063801,-1.0,-1.0,0.051730973186132734,0.051730973186132734,0.0
2019-05-22,0.012125726221749344,0.1498918153089305,1.0,1.0,0.010125726221749344,0.010125726221749344,0.0
2019-05-23,0.008753831966078929,0.09509263391748937,1.0,1.0,0.008753831966078929,0.008753831966078929,0.0
2019-05-24,0.006498616025429671,-0.019342475945090865,-1.0,1.0,-0.008498616025429671,0.006498616025429671,0.014997232050859342
2019-05-25,0.05522169366424201,0.07779759937791342,1.0,1.0,0.05322169366424201,0.05522169366424201,0.0020000000000000018
2019-05-26,0.06306121117630337,-0.05370043677261965,-1.0,1.0,-0.06506121117630337,0.06306121117630337,0.12812242235260674
2019-05-27,0.028516581354493864,-0.11445505917330229,-1.0,1.0,-0.028516581354493864,0.028516581354493864,0.05703316270898773
2019-05-28,-0.006350902160467964,-0.15205424954911956,-1.0,-1.0,0.006350902160467964,0.004350902160467964,-0.002
2019-05-29,-0.048044609887149425,-0.19356481973332812,-1.0,-1.0,0.048044609887149425,0.048044609887149425,0.0
2019-05-30,0.03830300007958676,-0.044554205654122186,-1.0,1.0,-0.03830300007958676,0.036303000079586756,0.07460600015917351
2019-05-31,-0.018220383238739646,0.08806505567734146,1.0,-1.0,-0.020220383238739648,0.016220383238739644,0.03644076647747929
2019-06-01,0.03298318490184915,0.1397733774663547,1.0,1.0,0.03298318490184915,0.030983184901849148,-0.0020000000000000018
2019-06-02,-0.042764491801002724,0.05285389464993551,1.0,-1.0,-0.042764491801002724,0.04076449180100272,0.08352898360200545
2019-06-03,-0.058945761136095065,-0.0011475995829880459,-1.0,-1.0,0.05694576113609506,0.058945761136095065,0.0020000000000000018
2019-06-04,0.005153912994450893,0.08768306356073705,1.0,1.0,0.003153912994450893,0.003153912994450893,0.0
2019-06-05,0.04173488268423653,0.19240163689145867,1.0,1.0,0.04173488268423653,0.04173488268423653,0.0
2019-06-06,0.008557033082610355,0.03448607578382755,1.0,1.0,0.008557033082610355,0.008557033082610355,0.0
2019-06-07,-0.025332642808046035,-0.10035121495493038,-1.0,-1.0,0.023332642808046034,0.023332642808046034,0.0
2019-06-08,-0.05854598175473036,0.007535088130384726,1.0,-1.0,-0.06054598175473036,0.05854598175473036,0.11909196350946072
2019-06-09,0.03132135328055741,-0.017784435497729012,-1.0,1.0,-0.03332135328055741,0.029321353280557405,0.06264270656111481
2019-06-10,-0.01539858921870263,0.015828108741137437,1.0,-1.0,-0.01739858921870263,0.01339858921870263,0.03079717843740526
2019-06-11,0.019020418764424507,-0.023375675195293433,-1.0,1.0,-0.02102041876442451,0.017020418764424505,0.038040837528849014
2019-06-12,-0.0021729375841796905,-0.08282159137968598,-1.0,-1.0,0.0021729375841796905,0.00017293758417969048,-0.002
2019-06-13,0.012557153324348924,-0.06977043803429456,-1.0,1.0,-0.012557153324348924,0.010557153324348924,0.023114306648697847
2019-06-14,0.011080912237181106,0.03956034462026807,1.0,1.0,0.009080912237181106,0.011080912237181106,0.002
2019-06-15,0.04165749304935096,0.04537883994533405,1.0,1.0,0.04165749304935096,0.04165749304935096,0.0
2019-06-16,0.048101098517768115,-0.05144177729374558,-1.0,1.0,-0.05010109851776812,0.048101098517768115,0.09820219703553623
2019-06-17,-0.043115063647858,-0.002703204855240726,-1.0,-1.0,0.043115063647858,0.041115063647858,-0.0020000000000000018
2019-06-18,0.018788987040371463,-0.07126505521690302,-1.0,1.0,-0.018788987040371463,0.01678898704037146,0.035577974080742925
