Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-03 00:00:00-05:00,145.17919342362154,146.05723100962769,144.07718283958442,145.48382568359375,4937500,0.0,0.0
2023-01-04 00:00:00-05:00,145.50170731174666,147.18609112014752,144.70431546712132,146.65748596191406,4440400,0.0,0.0
2023-01-05 00:00:00-05:00,146.1199608543985,147.3742945815299,145.44800075199132,146.4783477783203,3516000,0.0,0.0
2023-01-06 00:00:00-05:00,147.68785006160024,150.61759958490202,147.04276734690882,149.2199249267578,5099100,0.0,0.0
2023-01-09 00:00:00-05:00,148.63753467249748,148.97799875340638,144.1398926078402,144.83872985839844,7833000,0.0,0.0
2023-01-10 00:00:00-05:00,145.34941383003195,145.51964587226817,141.82835023621618,143.02891540527344,5936200,0.0,0.0
2023-01-11 00:00:00-05:00,142.65265750841039,142.7601667548844,138.92551535858695,140.8159637451172,7492000,0.0,0.0
2023-01-12 00:00:00-05:00,140.19186759276616,140.42702317648997,137.22522788585246,137.67745971679688,7665100,1.48,0.0
2023-01-13 00:00:00-05:00,137.5598645452566,139.11554302927698,136.8815168505158,138.9256134033203,6019300,0.0,0.0
2023-01-17 00:00:00-05:00,139.10651789264347,140.28232344655484,138.00307108985197,138.22918701171875,8507000,0.0,0.0
2023-01-18 00:00:00-05:00,137.58698517077775,137.85832698486072,134.82838249715178,134.94595336914062,6190800,0.0,0.0
2023-01-19 00:00:00-05:00,134.71983951331993,136.15793320822496,133.25461301670106,134.50277709960938,7169900,0.0,0.0
2023-01-20 00:00:00-05:00,135.1539885670387,135.40725107093368,133.09181267161088,135.2987060546875,7059000,0.0,0.0
2023-01-23 00:00:00-05:00,135.54292317657712,136.05846028068186,133.90584617781113,134.3580780029297,7616400,0.0,0.0
2023-01-24 00:00:00-05:00,133.93298626240255,134.64750651247476,132.44966634743705,133.5802459716797,5171400,0.0,0.0
2023-01-25 00:00:00-05:00,133.29984996792797,133.84251984806386,132.50391758250552,133.67066955566406,5744300,0.0,0.0
