Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-02 00:00:00+05:30,1822.1959140529334,1827.3799218905197,1810.8806164159844,1819.454345703125,1125001,0.0,0.0
2023-01-03 00:00:00+05:30,1816.6628712601585,1830.8691798980826,1815.4167038357791,1827.2303466796875,1663448,0.0,0.0
2023-01-04 00:00:00+05:30,1829.2742431495487,1829.2742431495487,1808.388402578334,1815.1676025390625,1664104,0.0,0.0
2023-01-05 00:00:00+05:30,1814.4198652646362,1827.1806690394205,1800.6123538159795,1814.718994140625,1732618,0.0,0.0
2023-01-06 00:00:00+05:30,1820.4012932293062,1820.4012932293062,1765.2210264511841,1781.321533203125,3799655,0.0,0.0
2023-01-09 00:00:00+05:30,1795.4780003617848,1810.4320092487512,1783.5147932522113,1806.3446044921875,3426868,0.0,0.0
2023-01-10 00:00:00+05:30,1803.004818180326,1810.4319269113244,1783.4150430901248,1790.044677734375,1474131,0.0,0.0
2023-01-11 00:00:00+05:30,1794.481135958154,1798.61843624971,1778.6298615846488,1796.325439453125,1603701,0.0,0.0
2023-01-12 00:00:00+05:30,1801.4596286483213,1801.4596286483213,1766.9657386813683,1774.0439453125,3529605,0.0,0.0
2023-01-13 00:00:00+05:30,1774.043956899163,1781.820090356344,1753.6068110062533,1774.841552734375,3983197,0.0,0.0
2023-01-16 00:00:00+05:30,1781.520964795902,1793.4841721700213,1774.5424271609993,1779.3277587890625,2118161,0.0,0.0
2023-01-17 00:00:00+05:30,1774.542397440126,1796.425048550369,1771.1527977350217,1792.1383056640625,2132394,0.0,0.0
2023-01-18 00:00:00+05:30,1797.4221560413207,1821.3984680789624,1790.4935132292371,1793.583984375,2835232,0.0,0.0
2023-01-19 00:00:00+05:30,1797.970431087156,1797.970431087156,1759.588472896496,1761.8814697265625,4425644,0.0,0.0
2023-01-20 00:00:00+05:30,1773.4459393184738,1773.4459393184738,1751.613060103754,1757.4949951171875,4270294,0.0,0.0
2023-01-23 00:00:00+05:30,1784.5117208030395,1794.1321574918272,1764.5730423583127,1778.2808837890625,7764627,0.0,0.0
2023-01-24 00:00:00+05:30,1787.2033617937875,1787.2033617937875,1743.3881653724889,1754.8529052734375,4159188,0.0,0.0
2023-01-25 00:00:00+05:30,1751.6129342903437,1755.002534028861,1727.686519706981,1744.43505859375,4280333,0.0,0.0
2023-01-27 00:00:00+05:30,1746.7278335800975,1746.7278335800975,1698.7753381054126,1707.847412109375,7516979,0.0,0.0
