Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-01-03 00:00:00-05:00,61.53633621696102,61.9424368220316,59.877688305816314,60.30825424194336,15196200,0.0,0.0,0.0
2023-01-04 00:00:00-05:00,60.621389270431855,60.85134993715445,59.79940419197943,60.464820861816406,11813000,0.0,0.0,0.0
2023-01-05 00:00:00-05:00,60.1614698959148,60.3180383096283,59.187810189786646,59.290557861328125,11341000,0.0,0.0,0.0
2023-01-06 00:00:00-05:00,59.81408824272594,61.301490148814445,59.109528462766725,61.027496337890625,13825400,0.0,0.0,0.0
2023-01-09 00:00:00-05:00,61.575468648927455,62.862264957136425,61.55589713402999,61.73693084716797,21427200,0.0,0.0,0.0
2023-01-10 00:00:00-05:00,61.58526618136166,62.21643364003647,61.25744792019192,62.11857604980469,17209000,0.0,0.0,0.0
2023-01-11 00:00:00-05:00,62.31426977999024,63.194969177246094,62.123452199398855,63.194969177246094,13758000,0.0,0.0,0.0
2023-01-12 00:00:00-05:00,63.292836676842406,63.95336323388787,62.519778564827725,63.6646842956543,15358600,0.0,0.0,0.0
2023-01-13 00:00:00-05:00,63.06287645627894,63.93867850450231,62.91609194639378,63.84572219848633,10153200,0.0,0.0,0.0
2023-01-17 00:00:00-05:00,63.75764662906805,64.51113694026789,63.67936056399819,64.13439178466797,10425800,0.0,0.0,0.0
2023-01-18 00:00:00-05:00,64.49646049662434,64.83895270578509,63.268371157374,63.30751419067383,13936000,0.0,0.0,0.0
2023-01-19 00:00:00-05:00,62.81335243847844,63.1656323007003,62.338753387034274,62.56871032714844,14645000,0.0,0.0,0.0
2023-01-20 00:00:00-05:00,62.88184780446643,64.31053496868157,62.65677722238719,64.26160430908203,14127800,0.0,0.0,0.0
2023-01-23 00:00:00-05:00,64.5209242203023,66.10129353702536,64.374147164309,65.72454833984375,23472600,0.0,0.0,0.0
2023-01-24 00:00:00-05:00,65.35269820244622,65.9447188811553,65.25483688114532,65.6951904296875,12575600,0.0,0.0,0.0
2023-01-25 00:00:00-05:00,64.58451853050545,65.7245340337923,63.98271033461386,65.55818176269531,14342200,0.0,0.0,0.0
2023-01-26 00:00:00-05:00,66.19914689227018,66.63460290853375,65.51415495117602,66.6052474975586,11161800,0.0,0.0,0.0
2023-01-27 00:00:00-05:00,66.18447019379747,67.35384136531582,66.15511478237565,66.8841323852539,13549400,0.0,0.0,0.0
2023-01-30 00:00:00-05:00,66.11597638151045,66.40464790176225,65.55330358197553,65.60712432861328,9705600,0.0,0.0,0.0
2023-01-31 00:00:00-05:00,65.60711921682584,66.551427249572,65.5630861000362,66.5220718383789,8871600,0.0,0.0,0.0
2023-02-01 00:00:00-05:00,66.47314600054501,68.63085846909625,66.15511906850938,68.08776092529297,18852800,0.0,0.0,0.0
2023-02-02 00:00:00-05:00,69.25222668301812,70.33842164603408,68.93419978746135,69.94700622558594,18824000,0.0,0.0,0.0
2023-02-03 00:00:00-05:00,68.74337027860932,70.49987168469093,68.6406188957455,69.36475372314453,16145400,0.0,0.0,0.0
