Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-01-03 00:00:00-05:00,129.36109286870274,129.71313001456866,127.90533913012142,128.88536071777344,7239200,0.0,0.0,0.0
2023-01-04 00:00:00-05:00,129.60848523645757,129.94150359274633,128.3906119329594,129.2279052734375,8469800,0.0,0.0,0.0
2023-01-05 00:00:00-05:00,128.3715878189563,128.6855728442348,127.40108996974962,127.90536499023438,6714200,0.0,0.0,0.0
2023-01-06 00:00:00-05:00,128.76168014601976,129.43721174587375,127.12516020192471,129.08517456054688,7175700,0.0,0.0,0.0
2023-01-09 00:00:00-05:00,129.21838685217838,129.25645356102194,126.754097368697,126.92535400390625,7719500,0.0,0.0,0.0
2023-01-10 00:00:00-05:00,126.87777056376332,128.19078142902944,126.68746608868169,127.99098205566406,7675200,0.0,0.0,0.0
2023-01-11 00:00:00-05:00,128.0766166972035,128.7331294214247,127.48671344619603,128.71409606933594,7307200,0.0,0.0,0.0
2023-01-12 00:00:00-05:00,128.43818184942987,128.83779514674288,127.05854688423236,128.3049774169922,7580500,0.0,0.0,0.0
2023-01-13 00:00:00-05:00,127.60092585253885,129.26598900387484,127.54384029597624,128.87588500976562,6334100,0.0,0.0,0.0
2023-01-17 00:00:00-05:00,128.80926124789113,129.02809400521096,128.10517233183327,128.2764434814453,6664100,0.0,0.0,0.0
2023-01-18 00:00:00-05:00,128.27642647638086,128.60943027716695,126.3449405517708,126.46863555908203,10629100,0.0,0.0,0.0
2023-01-19 00:00:00-05:00,126.09757856783261,127.27739967655525,125.84067910903919,126.77312469482422,9902300,0.0,0.0,0.0
2023-01-20 00:00:00-05:00,127.058577494765,127.50576702243995,126.08809404671098,127.41062927246094,5962200,0.0,0.0,0.0
2023-01-23 00:00:00-05:00,127.48672761026468,128.56187257253316,127.20128536999513,127.84827423095703,7211000,0.0,0.0,0.0
2023-01-24 00:00:00-05:00,127.21078817451892,127.95292924971977,126.18320487388822,127.00146484375,5754800,0.0,0.0,0.0
2023-01-25 00:00:00-05:00,126.15466604777966,127.06807829407694,125.79311943457866,127.03953552246094,5999000,0.0,0.0,0.0
2023-01-26 00:00:00-05:00,127.33449796261917,127.44866905875593,126.28788118737769,127.27741241455078,6861100,0.0,0.0,0.0
2023-01-27 00:00:00-05:00,127.08710616682578,127.22031060135392,126.24981285368062,126.41156005859375,5854600,0.0,0.0,0.0
2023-01-30 00:00:00-05:00,126.17369418109958,126.9634113722559,125.07951593257143,125.26980590820312,7055400,0.0,0.0,0.0
2023-01-31 00:00:00-05:00,125.55526927087658,126.90634719899967,125.43157423270152,126.88731384277344,6290600,0.0,0.0,0.0
2023-02-01 00:00:00-05:00,126.88727483316492,128.2668951123851,125.93581056912446,127.48670196533203,11843000,0.0,0.0,0.0
2023-02-02 00:00:00-05:00,126.55427827768776,126.7921443845674,125.71699945384407,126.62088775634766,11274600,0.0,0.0,0.0
2023-02-03 00:00:00-05:00,126.70651575350311,127.11565300577402,125.83117022455914,126.24981689453125,10046800,0.0,0.0,0.0
2023-02-06 00:00:00-05:00,126.06902361672049,126.33543246743619,125.37445872151122,125.54571533203125,7328300,0.0,0.0,0.0
2023-02-07 00:00:00-05:00,125.10804576253284,126.72553216539032,124.67036579747602,126.35446166992188,7551000,0.0,0.0,0.0
2023-02-08 00:00:00-05:00,125.89777775432427,126.68748043895408,125.79311608845127,125.98340606689453,5614100,0.0,0.0,0.0
2023-02-09 00:00:00-05:00,126.29738685787434,126.78262846447173,124.67988579949453,124.87969970703125,8085700,0.0,0.0,0.0
2023-02-10 00:00:00-05:00,125.05093736415793,126.1927060600436,124.87968077069031,126.05950164794922,6198600,0.0,0.0,0.0
2023-02-13 00:00:00-05:00,126.07854915820143,127.11565644347793,126.07854915820143,127.10613250732422,6300300,0.0,0.0,0.0
2023-02-14 00:00:00-05:00,127.27738320037804,127.50572534023983,125.716982332486,126.35446166992188,6905900,0.0,0.0,0.0
2023-02-15 00:00:00-05:00,125.85971353359898,126.03098468031705,125.29835300473566,125.72650909423828,6491900,0.0,0.0,0.0
2023-02-16 00:00:00-05:00,124.57524347391283,125.58380806719076,124.20417288934144,124.47059631347656,8008000,0.0,0.0,0.0
2023-02-17 00:00:00-05:00,123.88065667740406,125.81212816533039,123.76648560010996,125.58378601074219,10798800,0.0,0.0,0.0
2023-02-21 00:00:00-05:00,124.67037009865956,125.18416896746093,123.77599130482966,123.95677185058594,9066200,0.0,0.0,0.0
2023-02-22 00:00:00-05:00,124.08999046036831,124.38494211370913,123.28125439769111,123.53813934326172,7318900,0.0,0.0,0.0
2023-02-23 00:00:00-05:00,123.5096012679614,124.49913245288106,122.96727406627305,123.87116241455078,9955500,0.0,0.0,0.0
2023-02-24 00:00:00-05:00,122.82454859992235,123.06241472449491,121.9111508117535,122.27269744873047,9008000,0.0,0.0,0.0
2023-02-27 00:00:00-05:00,122.93871853282056,123.28124628924785,121.62569304681696,121.901611328125,6463900,0.0,0.0,0.0
2023-02-28 00:00:00-05:00,121.62569643105199,121.70181532550876,120.89306477532597,120.99772644042969,10282800,0.0,0.0,0.0
2023-03-01 00:00:00-05:00,120.41733301247724,121.06432909952306,120.27461915872234,120.79792022705078,11101000,0.0,0.0,0.0
2023-03-02 00:00:00-05:00,120.25558644636277,121.88259697881284,120.25558644636277,121.5400619506836,10203100,0.0,0.0,0.0
2023-03-03 00:00:00-05:00,122.10141586409402,122.9482185138541,121.49247929031365,122.90064239501953,10048000,0.0,0.0,0.0
2023-03-06 00:00:00-05:00,122.98628838275783,123.40493505959213,122.55813228806646,122.84357452392578,8153400,0.0,0.0,0.0
2023-03-07 00:00:00-05:00,123.09094034325783,123.23366870902748,120.65519389000713,120.86451721191406,9604400,0.0,0.0,0.0
2023-03-08 00:00:00-05:00,120.61713496059679,120.98821274317287,119.7322728063552,120.21752166748047,10793200,0.0,0.0,0.0
2023-03-09 00:00:00-05:00,120.68375327172198,120.8835672040264,118.51441538079764,118.99966430664062,13270300,0.0,0.0,0.0
2023-03-10 00:00:00-05:00,118.79984457236303,119.78936841118897,117.66759962290982,118.12430572509766,20483200,0.0,0.0,0.0
2023-03-13 00:00:00-04:00,117.74370721060905,120.85499227986872,117.60098611368596,119.22798919677734,21294200,0.0,0.0,0.0
2023-03-14 00:00:00-04:00,120.03676317799157,120.66472596475234,119.09480810920351,120.29365539550781,14582900,0.0,0.0,0.0
2023-03-15 00:00:00-04:00,118.99966473621244,120.36025926170872,118.780824707188,120.18899536132812,17244600,0.0,0.0,0.0
2023-03-16 00:00:00-04:00,119.28509756064125,121.36879971494497,118.95207920465482,121.31171417236328,16011400,0.0,0.0,0.0
2023-03-17 00:00:00-04:00,121.20705165425562,121.30219664425651,119.37072503675837,119.75131225585938,15071400,0.0,0.0,0.0
2023-03-20 00:00:00-04:00,119.95094154364476,121.45056679345765,119.95094154364476,121.26908111572266,10592100,0.489,0.0,0.0
2023-03-21 00:00:00-04:00,121.73709952015261,122.14782522590636,121.00161768247767,122.00455474853516,8816300,0.0,0.0,0.0
2023-03-22 00:00:00-04:00,122.0714381350385,122.52037180926712,120.14197944419352,120.16108703613281,10480000,0.0,0.0,0.0
2023-03-23 00:00:00-04:00,120.65777444327333,121.38370989728884,119.2441114314969,119.93183898925781,10092300,0.0,0.0,0.0
2023-03-24 00:00:00-04:00,119.81722209436833,121.70846558300956,119.36828842448966,121.5938491821289,8163700,0.0,0.0,0.0
2023-03-27 00:00:00-04:00,122.4534868048416,123.00749030138235,121.9472449946065,122.09052276611328,9455400,0.0,0.0,0.0
2023-03-28 00:00:00-04:00,121.96636853281181,122.40574112470873,121.05894738621839,121.35505676269531,8037400,0.0,0.0,0.0
2023-03-29 00:00:00-04:00,121.9568095493893,122.1096338417125,121.16401212619353,121.68936157226562,8183100,0.0,0.0,0.0
2023-03-30 00:00:00-04:00,122.34843444824219,122.38664963268822,121.57474457366821,122.34843444824219,6820400,0.0,0.0,0.0
2023-03-31 00:00:00-04:00,122.75917603297343,123.72389817221458,122.69230674296665,123.65704345703125,9202500,0.0,0.0,0.0
2023-04-03 00:00:00-04:00,123.75253755756287,125.18530083198631,123.40867378870837,125.04203033447266,8937300,0.0,0.0,0.0
2023-04-04 00:00:00-04:00,125.17576532128265,125.78707712241825,124.83190152221744,125.0611343383789,9052600,0.0,0.0,0.0
2023-04-05 00:00:00-04:00,125.7584310373277,127.43953495391295,125.61514594326954,127.2198486328125,12325800,0.0,0.0,0.0
2023-04-06 00:00:00-04:00,127.71652749312325,128.098591878078,127.10521573230243,127.53504180908203,8276300,0.0,0.0,0.0
2023-04-10 00:00:00-04:00,127.19115641657908,127.51591254608057,126.52253656912909,127.44904327392578,8024300,0.0,0.0,0.0
2023-04-11 00:00:00-04:00,127.74517463567231,128.34692528046088,127.6687588478789,127.87889862060547,8887500,0.0,0.0,0.0
2023-04-12 00:00:00-04:00,128.37559446362476,128.8531822623359,127.68786686749489,127.9171142578125,8988600,0.0,0.0,0.0
2023-04-13 00:00:00-04:00,128.46157831939252,129.7224025975415,128.18456921919832,129.57913208007812,9373500,0.0,0.0,0.0
2023-04-14 00:00:00-04:00,129.283014879523,129.56000937258122,128.06039135704566,128.53797912597656,6632100,0.0,0.0,0.0
2023-04-17 00:00:00-04:00,128.57617760286732,128.71944810124245,127.76427257921678,128.4329071044922,7187000,0.0,0.0,0.0
2023-04-18 00:00:00-04:00,128.69080713214612,128.69080713214612,127.38222119739632,127.55414581298828,7194200,0.0,0.0,0.0
2023-04-19 00:00:00-04:00,127.59235995130999,128.13680247103443,127.20073445258168,127.94577026367188,7048100,0.0,0.0,0.0
2023-04-20 00:00:00-04:00,127.33445548056302,127.61146456336722,126.81866707525111,127.42041778564453,6672000,0.0,0.0,0.0
2023-04-21 00:00:00-04:00,128.11769698404575,128.70990114168234,127.71652501518017,128.2800750732422,6535900,0.0,0.0,0.0
2023-04-24 00:00:00-04:00,128.41378710701062,129.0346453064173,128.08903095885393,128.99644470214844,6299800,0.0,0.0,0.0
2023-04-25 00:00:00-04:00,128.8054173923925,129.19702825650458,127.43950889739868,127.6209945678711,7752000,0.0,0.0,0.0
2023-04-26 00:00:00-04:00,126.49388053230007,126.5798574014886,125.05157081912385,125.80616760253906,10128800,0.0,0.0,0.0
2023-04-27 00:00:00-04:00,125.8634821832038,126.64671852965012,124.76502159177821,126.4652328491211,10008900,0.0,0.0,0.0
2023-04-28 00:00:00-04:00,126.31240106081844,127.90754224143159,126.11180781244,127.54457092285156,7917300,0.0,0.0,0.0
2023-05-01 00:00:00-04:00,127.72607129911759,128.71944742387518,127.47773091163363,128.2036590576172,6793900,0.0,0.0,0.0
2023-05-02 00:00:00-04:00,127.99351432954897,128.805419317538,126.73267569994074,127.64965057373047,14365800,0.0,0.0,0.0
2023-05-03 00:00:00-04:00,128.24187389467957,128.85318571039537,127.29625935581394,127.47774505615234,8961500,0.0,0.0,0.0
2023-05-04 00:00:00-04:00,126.94282060848306,127.01923639895958,125.93033689060717,126.4652328491211,9625300,0.0,0.0,0.0
2023-05-05 00:00:00-04:00,127.29624959634641,128.0412853591669,126.87597002248415,127.60189819335938,7650300,0.0,0.0,0.0
2023-05-08 00:00:00-04:00,127.4108906018113,127.44909121825624,126.732709417607,127.3249282836914,5305700,0.0,0.0,0.0
2023-05-09 00:00:00-04:00,126.8377492625389,127.43951449637066,126.43657729825826,126.47479248046875,6452700,0.0,0.0,0.0
2023-05-10 00:00:00-04:00,126.83776306191481,127.14342625356718,126.0831807416107,126.82821655273438,6556600,0.0,0.0,0.0
2023-05-11 00:00:00-04:00,126.56076959654177,126.6371853950883,125.64379458880686,126.43659210205078,8764800,0.0,0.0,0.0
2023-05-12 00:00:00-04:00,126.62765038743701,126.89509841923052,125.70112878628642,126.26467895507812,6626800,0.0,0.0,0.0
2023-05-15 00:00:00-04:00,126.28373859910027,126.3697008820737,125.50048782138039,126.0449447631836,5725600,0.0,0.0,0.0
2023-05-16 00:00:00-04:00,125.77749900248307,125.82526069098859,124.9656085971734,124.9942626953125,7106000,0.0,0.0,0.0
2023-05-17 00:00:00-04:00,125.20441818882689,125.30948808680594,123.75254720988619,125.14710998535156,15512700,0.0,0.0,0.0
2023-05-18 00:00:00-04:00,124.87966873984503,125.04204685008138,123.87673140031586,124.8414535522461,12196900,0.0,0.0,0.0
2023-05-19 00:00:00-04:00,125.1279930746873,126.26465427504716,125.07068487547954,125.4240951538086,9277000,0.0,0.0,0.0
2023-05-22 00:00:00-04:00,125.60559464349646,126.42704626370161,125.25218432631375,125.54828643798828,12856100,0.0,0.0,0.0
2023-05-23 00:00:00-04:00,125.04203429019366,125.22351997600009,123.89582654935882,124.17282104492188,8723100,0.0,0.0,0.0
2023-05-24 00:00:00-04:00,123.934027527867,123.96268162836165,123.03616017950858,123.32271575927734,7952900,0.0,0.0,0.0
2023-05-25 00:00:00-04:00,122.73050926339805,122.89288735474005,121.2213301749688,122.06188201904297,13737000,0.0,0.0,0.0
2023-05-26 00:00:00-04:00,121.94726159262078,123.09346934586277,121.58429750449008,121.81353759765625,8794900,0.0,0.0,0.0
2023-05-30 00:00:00-04:00,121.20223012763819,122.13830541303703,120.75329643399851,121.05895233154297,12114500,0.0,0.0,0.0
2023-05-31 00:00:00-04:00,120.72464247200212,122.3102374524447,120.39988626872771,122.10009765625,15099100,0.0,0.0,0.0
2023-06-01 00:00:00-04:00,122.21470015945589,123.14122154413785,121.26907847157075,122.90242767333984,9751900,0.0,0.0,0.0
2023-06-02 00:00:00-04:00,123.29405461754178,124.69816376088096,123.00749905413801,124.47847747802734,10293000,0.0,0.0,0.0
2023-06-05 00:00:00-04:00,124.75548170445504,125.49097097385588,124.60265011539101,124.92740631103516,7880200,0.0,0.0,0.0
2023-06-06 00:00:00-04:00,125.4336629512721,125.47186356118154,123.3418261192835,123.88626861572266,9413500,0.0,0.0,0.0
2023-06-07 00:00:00-04:00,123.78120381841848,123.95314300714941,123.21765370640102,123.39913940429688,7519600,0.0,0.0,0.0
2023-06-08 00:00:00-04:00,123.41824279235249,124.36385728627262,123.00750971508424,124.19193267822266,6583100,0.0,0.0,0.0
2023-06-09 00:00:00-04:00,124.22061001986077,125.00384656110546,123.54242881997507,124.57402038574219,10446100,0.0,0.0,0.0
2023-06-12 00:00:00-04:00,124.50713035197657,125.05157279974821,124.01998152653636,125.02291870117188,7321100,0.0,0.0,0.0
2023-06-13 00:00:00-04:00,124.74592179280202,125.84436774968302,124.62174431817651,125.65333557128906,8362700,0.0,0.0,0.0
2023-06-14 00:00:00-04:00,125.01339574472419,125.11846565090546,123.88628088070477,124.3638687133789,12401600,0.0,0.0,0.0
2023-06-15 00:00:00-04:00,124.37340695555355,126.46522903563095,124.35429936480516,126.29330444335938,10598600,0.0,0.0,0.0
2023-06-16 00:00:00-04:00,126.61806275303331,127.27713618419496,126.15003608294346,126.28376007080078,10535000,0.0,0.0,0.0
2023-06-20 00:00:00-04:00,125.07720533686754,126.69809925947843,125.05801909023039,126.14181518554688,8585100,0.542,0.0,0.0
2023-06-21 00:00:00-04:00,125.83490244220688,126.59260557094989,125.2498462754483,126.16099548339844,9444800,0.0,0.0,0.0
2023-06-22 00:00:00-04:00,126.35280534498918,127.20641028614916,126.18975885452227,127.02417755126953,8036400,0.0,0.0,0.0
2023-06-23 00:00:00-04:00,126.85155078809476,127.1200997133009,126.2569088301124,126.60218811035156,8096500,0.0,0.0,0.0
2023-06-26 00:00:00-04:00,126.28566635905632,126.48708534720399,124.66477255310686,125.88284301757812,7092800,0.0,0.0,0.0
2023-06-27 00:00:00-04:00,125.88285846590148,126.01713292953902,124.72233195996218,125.59512329101562,8578200,0.0,0.0,0.0
2023-06-28 00:00:00-04:00,125.56634257085582,125.59511462287676,124.78946789665447,125.19229125976562,10897800,0.0,0.0,0.0
2023-06-29 00:00:00-04:00,124.90457065033765,126.08428345984997,124.69356582106649,126.00755310058594,7843300,0.0,0.0,0.0
2023-06-30 00:00:00-04:00,126.51586950413235,127.59965099033542,126.43913915058212,127.30233001708984,8260900,0.0,0.0,0.0
2023-07-03 00:00:00-04:00,126.93789267449087,126.93789267449087,125.71982196350274,126.25691986083984,5240300,0.0,0.0,0.0
